input,block1,block2,block3,kpack,matrix_instr_nonkdim,num_stages,num_warps,waves_per_eu,timing
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,64,2,16,2,8,0,0.0817210003733635
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,64,2,0,2,4,0,0.08885200321674347
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,64,2,16,2,4,0,0.09526100009679794
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,0,2,4,0,0.131073996424675
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,16,2,4,0,0.13780400156974792
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,0,2,8,0,0.10203199833631516
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,32,128,2,16,2,8,0,0.12486600130796432
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,128,2,0,2,4,0,0.10812000185251236
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,64,128,2,16,2,4,0,0.11741399765014648
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,128,2,0,2,4,0,0.10759899765253067
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],64,128,128,2,16,2,4,0,0.12302199751138687
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,0,2,4,0,0.12041900306940079
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,16,2,4,0,0.12686799466609955
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,0,2,8,0,0.1021910011768341
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,16,2,8,0,0.12386400252580643
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,0,2,8,0,0.1254660040140152
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,16,2,8,0,0.15174500644207
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,0,2,4,0,0.15206600725650787
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,16,2,4,0,0.1744990050792694
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,64,128,2,0,2,4,0,0.16556499898433685
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,64,128,2,16,2,4,0,0.1882389932870865
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,64,128,2,0,2,8,0,0.14229099452495575
