kernel_name,size_hints,fastest_us,config
triton_poi_fused_relu_sigmoid_0,{'x': 512},6.48,XBLOCK=256 num_warps=1
triton_poi_fused_relu_sigmoid_0,{'x': 65536},6.4,XBLOCK=256 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 67108864},89.522,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 8388608},12.04,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_silu_0,{'x': 1048576},6.76,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_silu_0,{'x': 131072},6.761,XBLOCK=4096 num_warps=4
triton_poi_fused_silu_0,{'x': 16384},6.64,XBLOCK=256 num_warps=1
triton_poi_fused_silu_0,{'x': 16777216},21.921,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_silu_0,{'x': 2097152},7.04,XBLOCK=512 num_warps=4
triton_poi_fused_silu_0,{'x': 262144},6.32,XBLOCK=512 num_warps=4
triton_poi_fused_silu_0,{'x': 32768},6.52,XBLOCK=256 num_warps=1
triton_poi_fused_silu_0,{'x': 4096},6.52,XBLOCK=256 num_warps=1
triton_poi_fused_silu_0,{'x': 4194304},8.481,XBLOCK=1024 num_warps=4
triton_poi_fused_silu_0,{'x': 512},6.4,XBLOCK=256 num_warps=1
triton_poi_fused_silu_0,{'x': 65536},6.52,XBLOCK=512 num_warps=2
triton_poi_fused_silu_0,{'x': 67108864},89.442,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_silu_0,{'x': 8388608},11.76,XBLOCK=1024 num_warps=4
triton_poi_fused_tanh_0,{'x': 1048576},6.88,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_tanh_0,{'x': 131072},6.68,XBLOCK=4096 num_warps=4
triton_poi_fused_tanh_0,{'x': 16384},6.68,XBLOCK=4096 num_warps=4
triton_poi_fused_tanh_0,{'x': 16777216},22.201,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_tanh_0,{'x': 2097152},7.12,XBLOCK=512 num_warps=4
triton_poi_fused_tanh_0,{'x': 262144},6.68,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_tanh_0,{'x': 32768},6.48,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_tanh_0,{'x': 4096},6.48,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_tanh_0,{'x': 4194304},8.6,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_tanh_0,{'x': 512},6.441,XBLOCK=512 waves_per_eu=2 num_warps=2
triton_poi_fused_tanh_0,{'x': 65536},6.6,XBLOCK=512 num_warps=2
triton_poi_fused_tanh_0,{'x': 67108864},89.363,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_tanh_0,{'x': 8388608},12.16,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 128, 'r0_': 8192}",18.24,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 32, 'r0_': 8192}",17.201,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",17.08,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 8, 'r0_': 8192}",17.001,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 128, 'r0_': 8192}",16.441,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 32, 'r0_': 8192}",14.56,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",15.121,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 512, 'r0_': 8192}",25.401,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",8.44,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",8.04,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",8.001,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 512, 'r0_': 8192}",10.48,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 128, 'r0_': 8192}",7.04,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 2048, 'r0_': 2048}",18.881,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 8, 'r0_': 8192}",6.72,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 128, 'r0_': 8192}",6.56,XBLOCK=1 R0_BLOCK=2048 num_warps=8
